t_start,t_end,t_diff,closed_list,open_list,solver_type,solved,steps
1481213014042658,1481213014042822,164,2,6,0,1,2
1481213014045767,1481213014045851,84,2,6,0,1,2
1481213014048746,1481213014048832,86,2,6,0,1,2
1481213014051586,1481213014051672,86,2,6,0,1,2
1481213014054475,1481213014054572,97,2,6,0,1,2
