t_start,t_end,t_diff,closed_list,open_list,solver_type,solved
1481145272874578,1481145349983569,77108991,541031,218,0,1
1481145350024792,1481145425665071,75640279,541031,218,0,1
1481145425681727,1481145497923727,72242000,541031,218,0,1
1481145497942158,1481145573980044,76037886,541031,218,0,1
1481145574026191,1481145651581994,77555803,541031,218,0,1
