t_start,t_end,t_diff,closed_list,open_list,solver_type,solved,steps
1481213033212918,1481213033213626,708,13,14,0,1,4
1481213033216629,1481213033217197,568,13,14,0,1,4
1481213033220048,1481213033220573,525,13,14,0,1,4
1481213033223327,1481213033223872,545,13,14,0,1,4
1481213033226818,1481213033227379,561,13,14,0,1,4
