t_start,t_end,t_diff,closed_list,open_list,solver_type,solved,steps
1481225986220246,1481226004662445,18442199,233859,37643,0,1,33
1481226004672274,1481226022776695,18104421,233859,37643,0,1,33
1481226022786587,1481226040753381,17966794,233859,37643,0,1,33
1481226040762326,1481226058576356,17814030,233859,37643,0,1,33
1481226058588683,1481226076277473,17688790,233859,37643,0,1,33
